,model,epochs,weights,criterion,optimizer,learning_rate,L1_norm,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
MLP_modelID_4_weights_normal_optimizer_LBFGS_learningrate_1_l1Norm_0,Large,200.0,normal,CrossEntropyLoss,LBFGS,1.0,0.0,1910.8337724711569,5106.399455325999,0.5857,5130.464290313926,-0.0075306964012793,1936.8916563799808,4801.996742251442,0.5884,4789.839364014491,0.0042432573579592
MLP_modelID_4_weights_normal_optimizer_LBFGS_learningrate_1_l1Norm_0.0001,Large,200.0,normal,CrossEntropyLoss,LBFGS,1.0,0.0001,1910.8337724711569,5106.399455325999,0.5863,5106.399455325999,0.0,1936.8916563799808,4801.996742251442,0.5872,4801.996742251442,0.0
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_0.0003_l1Norm_0,Large,200.0,normal,CrossEntropyLoss,SGD,0.0003,0.0,1910.8337724711569,5106.399455325999,0.5581,8677.973294875235,-1.117665601027007,1936.8916563799808,4801.996742251442,0.5745,8024.65977123306,-1.1247974969132422
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_0.0003_l1Norm_0.0001,Large,200.0,normal,CrossEntropyLoss,SGD,0.0003,0.0001,1910.8337724711569,5106.399455325999,0.4797,14893.683107056611,-3.062770295801552,1936.8916563799808,4801.996742251442,0.5134,13445.779409633704,-3.016916450990536
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0,Large,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0,1910.8337724711569,5106.399455325999,0.5686,11555.13687952777,-2.0180268735520475,1936.8916563799808,4801.996742251442,0.8749,4922.870034885282,-0.042188083512153
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_0.01_l1Norm_0.0001,Large,200.0,normal,CrossEntropyLoss,SGD,0.01,0.0001,1910.8337724711569,5106.399455325999,0.5616,11818.142841427423,-2.100330286469128,1936.8916563799808,4801.996742251442,0.8765,5074.708854823561,-0.0951839825760421
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_0.1_l1Norm_0,Large,200.0,normal,CrossEntropyLoss,SGD,0.1,0.0,1910.8337724711569,5106.399455325999,0.5801,11521.760633217064,-2.007582323314893,1936.8916563799808,4801.996742251442,0.8794,6105.0677552663365,-0.4548074063463356
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_0.1_l1Norm_0.0001,Large,200.0,normal,CrossEntropyLoss,SGD,0.1,0.0001,1910.8337724711569,5106.399455325999,0.5221,14162.769221894285,-2.8340427534187125,1936.8916563799808,4801.996742251442,0.9994,1951.185852005904,0.9950109349578796
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_1_l1Norm_0,Large,200.0,normal,CrossEntropyLoss,SGD,1.0,0.0,1910.8337724711569,5106.399455325999,0.5661,11920.977877649584,-2.132510828641645,1936.8916563799808,4801.996742251442,0.8791,5552.867081712062,-0.2620742754474685
MLP_modelID_4_weights_normal_optimizer_SGD_learningrate_1_l1Norm_0.0001,Large,200.0,normal,CrossEntropyLoss,SGD,1.0,0.0001,1910.8337724711566,5106.399455325999,0.5125,14702.63266165817,-3.0029841845588736,1936.8916563799812,4801.996742251442,0.9337,3048.3986508788407,0.6120536730118646
