,greedy,dynamic_programming,branch_and_bound
knapPI_1_1000_10000000_187.csv,50000.0,50000.0,158.75
knapPI_1_1000_10000000_188.csv,50000.0,50000.0,1506.12
knapPI_1_1000_10000000_189.csv,50000.0,50000.0,5001.22
knapPI_1_1000_10000000_19.csv,0.0,50000.0,2.59
knapPI_1_1000_10000000_190.csv,50000.0,50000.0,2.34
knapPI_1_1000_10000000_191.csv,50000.0,50000.0,1.72
knapPI_1_1000_10000000_192.csv,50000.0,50000.0,4.68
knapPI_1_1000_10000000_193.csv,50000.0,50000.0,51.26
knapPI_1_1000_10000000_194.csv,50000.0,50000.0,5002.83
knapPI_1_1000_10000000_195.csv,50000.0,50000.0,4.28
knapPI_1_1000_10000000_196.csv,50000.0,50000.0,0.56
knapPI_1_1000_10000000_197.csv,50000.0,50000.0,752.01
knapPI_1_1000_10000000_198.csv,50000.0,50000.0,2.54
knapPI_1_1000_10000000_199.csv,50000.0,50000.0,3.53
knapPI_1_1000_10000000_2.csv,50000.0,50000.0,2.17
knapPI_1_1000_10000000_20.csv,0.0,50000.0,3.14
knapPI_1_1000_10000000_200.csv,50000.0,50000.0,95.18
knapPI_1_1000_10000000_201.csv,50000.0,50000.0,9.33
knapPI_1_1000_10000000_202.csv,50000.0,50000.0,2737.71
knapPI_1_1000_10000000_203.csv,50000.0,50000.0,162.53
knapPI_1_1000_10000000_204.csv,50000.0,50000.0,14.27
knapPI_1_1000_10000000_205.csv,50000.0,50000.0,2.34
knapPI_1_1000_10000000_206.csv,50000.0,50000.0,1417.9
knapPI_1_1000_10000000_207.csv,50000.0,50000.0,2.92
knapPI_1_1000_10000000_208.csv,50000.0,50000.0,428.64
knapPI_1_1000_10000000_209.csv,50000.0,50000.0,2.57
knapPI_1_1000_10000000_21.csv,50000.0,50000.0,693.12
knapPI_1_1000_10000000_210.csv,50000.0,50000.0,80.54
knapPI_1_1000_10000000_211.csv,0.0,50000.0,3.93
knapPI_1_1000_10000000_212.csv,50000.0,50000.0,1524.65
knapPI_1_1000_10000000_213.csv,50000.0,50000.0,1.7
knapPI_1_1000_10000000_214.csv,50000.0,50000.0,1.57
knapPI_1_1000_10000000_215.csv,50000.0,50000.0,5000.22
knapPI_1_1000_10000000_216.csv,50000.0,50000.0,42.6
knapPI_1_1000_10000000_217.csv,50000.0,50000.0,6.53
knapPI_1_1000_10000000_218.csv,50000.0,50000.0,7.02
knapPI_1_1000_10000000_219.csv,50000.0,50000.0,2.62
knapPI_1_1000_10000000_22.csv,50000.0,50000.0,3.81
knapPI_1_1000_10000000_220.csv,50000.0,50000.0,3.69
knapPI_1_1000_10000000_221.csv,50000.0,50000.0,2.51
knapPI_1_1000_10000000_222.csv,50000.0,50000.0,1362.36
knapPI_1_1000_10000000_223.csv,0.09,50000.0,2.47
knapPI_1_1000_10000000_224.csv,50000.0,50000.0,3.67
knapPI_1_1000_10000000_225.csv,50000.0,50000.0,424.8
knapPI_1_1000_10000000_226.csv,50000.0,50000.0,1.6
knapPI_1_1000_10000000_227.csv,50000.0,50000.0,4928.48
knapPI_1_1000_10000000_228.csv,50000.0,50000.0,3.15
knapPI_1_1000_10000000_229.csv,0.0,50000.0,2.52
knapPI_1_1000_10000000_23.csv,50000.0,50000.0,4.35
knapPI_1_1000_10000000_230.csv,50000.0,50000.0,3.18
knapPI_1_1000_10000000_231.csv,50000.0,50000.0,8.69
knapPI_1_1000_10000000_232.csv,0.0,50000.0,2.49
knapPI_1_1000_10000000_233.csv,50000.0,50000.0,64.36
knapPI_1_1000_10000000_234.csv,50000.0,50000.0,5002.95
knapPI_1_1000_10000000_235.csv,50000.0,50000.0,4.19
knapPI_1_1000_10000000_236.csv,50000.0,50000.0,5000.0
knapPI_1_1000_10000000_237.csv,50000.0,50000.0,1.75
knapPI_1_1000_10000000_238.csv,50000.0,50000.0,5.63
knapPI_1_1000_10000000_239.csv,50000.0,50000.0,2.98
knapPI_1_1000_10000000_24.csv,50000.0,50000.0,2.8
knapPI_1_1000_10000000_240.csv,50000.0,50000.0,992.36
knapPI_1_1000_10000000_241.csv,50000.0,50000.0,264.18
knapPI_1_1000_10000000_242.csv,50000.0,50000.0,5.72
knapPI_1_1000_10000000_243.csv,0.0,50000.0,3.11
