,max_depth,learning_rate,n_estimators,min_child_weight,subsample,Seed,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_4_lr_0.001_estimators_50_childweight_0.5_subsample_0.8_seed_1,4.0,0.001,50.0,0.5,0.8,1.0,1910.8337724711569,5106.399455325999,0.6767,8979.401269117252,-1.2119925541105463,1936.8916563799808,4801.996742251442,0.6766,8927.69482154837,-1.4399814162634947
XGB_depth_4_lr_0.001_estimators_50_childweight_2_subsample_0.8_seed_1,4.0,0.001,50.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6767,8979.401269117252,-1.2119925541105463,1936.8916563799808,4801.996742251442,0.6765,8931.527994767208,-1.4413192985065373
XGB_depth_4_lr_0.001_estimators_50_childweight_1_subsample_0.8_seed_1,4.0,0.001,50.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.6764,8979.611851354977,-1.2120584523766516,1936.8916563799808,4801.996742251442,0.6766,8928.402293036363,-1.440228343153361
XGB_depth_4_lr_0.001_estimators_100_childweight_2_subsample_0.9_seed_1,4.0,0.001,100.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6783,8982.677029782666,-1.2130176498183234,1936.8916563799808,4801.996742251442,0.6774,8922.42551791225,-1.4381422852444952
XGB_depth_4_lr_0.001_estimators_100_childweight_1_subsample_0.9_seed_1,4.0,0.001,100.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.678,8982.67787496646,-1.2130179143047646,1936.8916563799808,4801.996742251442,0.6775,8919.09838588488,-1.4369810252112147
XGB_depth_4_lr_0.001_estimators_100_childweight_0.5_subsample_0.9_seed_1,4.0,0.001,100.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.678,8982.67787496646,-1.2130179143047646,1936.8916563799808,4801.996742251442,0.6775,8919.09838588488,-1.4369810252112147
XGB_depth_4_lr_0.001_estimators_200_childweight_2_subsample_0.9_seed_1,4.0,0.001,200.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.678,8983.430354172257,-1.2132533903614244,1936.8916563799808,4801.996742251442,0.6774,8925.644317053535,-1.439265734138973
XGB_depth_4_lr_0.001_estimators_200_childweight_0.5_subsample_0.9_seed_1,4.0,0.001,200.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.6778,8984.6054923531,-1.2136211306294924,1936.8916563799808,4801.996742251442,0.6778,8902.62668992352,-1.4312319530244435
XGB_depth_4_lr_0.001_estimators_200_childweight_1_subsample_0.9_seed_1,4.0,0.001,200.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,8984.816074590823,-1.2136870288955972,1936.8916563799808,4801.996742251442,0.6777,8908.990616530256,-1.4334531373845287
XGB_depth_4_lr_0.001_estimators_50_childweight_0.5_subsample_0.9_seed_1,4.0,0.001,50.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.6778,8996.247263214382,-1.2172642323575351,1936.8916563799808,4801.996742251442,0.6797,8895.725167046827,-1.428823132869565
XGB_depth_4_lr_0.001_estimators_50_childweight_1_subsample_0.9_seed_1,4.0,0.001,50.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6778,8996.247263214382,-1.2172642323575351,1936.8916563799808,4801.996742251442,0.6795,8905.078491882463,-1.4320876989344398
XGB_depth_4_lr_0.001_estimators_50_childweight_2_subsample_0.9_seed_1,4.0,0.001,50.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6778,8996.247263214382,-1.2172642323575351,1936.8916563799808,4801.996742251442,0.6793,8918.457958540184,-1.4367574985601843
