,max_depth,learning_rate,n_estimators,min_child_weight,subsample,Seed,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_3_lr_0.1_estimators_100_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.1,100.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7202,4324.387024416421,0.2447179962863247,1936.8916563799808,4801.996742251442,0.7505,3680.8546370589024,0.3913092440208101
XGB_depth_6_lr_0.1_estimators_100_childweight_2_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,100.0,2.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7601,4402.544947679098,0.2202597528892267,1936.8916563799808,4801.996742251442,0.9069,2513.8978512008584,0.7986090640562411
XGB_depth_6_lr_0.1_estimators_100_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,100.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.7521,4448.745199892675,0.2058021398094971,1936.8916563799808,4801.996742251442,0.9345,2295.4833845431367,0.8748416838420833
XGB_depth_6_lr_0.1_estimators_100_childweight_1_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,100.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.7542,4448.873898577945,0.2057618656614928,1936.8916563799808,4801.996742251442,0.9341,2265.4193754192943,0.8853348449034683
XGB_depth_6_lr_0.1_estimators_100_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,100.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7577,4452.623383418299,0.204588525723443,1936.8916563799808,4801.996742251442,0.9156,2419.948825305246,0.8313998424325382
XGB_depth_3_lr_0.1_estimators_200_childweight_1_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.1,200.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.7534,4506.172141132278,0.1878313180712005,1936.8916563799808,4801.996742251442,0.8444,3168.668492553334,0.5700762103814104
XGB_depth_3_lr_0.1_estimators_200_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.1,200.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.7489,4522.737056613899,0.1826475987784015,1936.8916563799808,4801.996742251442,0.8413,3157.4999302294377,0.5739743439538827
XGB_depth_6_lr_0.1_estimators_200_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,200.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7601,4683.679820230748,0.1322831939782264,1936.8916563799808,4801.996742251442,0.9829,1978.9057091104253,0.985335947034674
XGB_depth_6_lr_0.1_estimators_200_childweight_2_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,200.0,2.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.751,4731.443960289777,0.1173361877829547,1936.8916563799808,4801.996742251442,0.992,1949.9674627666711,0.9954361861101816
XGB_depth_3_lr_0.1_estimators_200_childweight_1_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.1,200.0,1.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7483,4803.267083445129,0.0948603164401423,1936.8916563799808,4801.996742251442,0.8307,3279.2107761975044,0.5314939314314056
XGB_depth_6_lr_0.1_estimators_200_childweight_2_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,200.0,2.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7553,4868.983209015293,0.0742955300792327,1936.8916563799808,4801.996742251442,0.9819,1982.7362397692204,0.9839989871173276
XGB_depth_6_lr_0.1_estimators_200_childweight_1_subsample_0.8_objective_binary:logistic_evalmetric_merror_seed_1,6.0,0.1,200.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.7566,4894.148325731151,0.0664205185121489,1936.8916563799808,4801.996742251442,0.9923,1947.8729920837247,0.9961672136362832
XGB_depth_3_lr_0.1_estimators_200_childweight_2_subsample_1_objective_binary:logistic_evalmetric_merror_seed_1,3.0,0.1,200.0,2.0,1.0,1.0,1910.8337724711569,5106.399455325999,0.7432,5090.04874161524,0.0051166883530153,1936.8916563799808,4801.996742251442,0.8315,3343.5149221789884,0.5090500265643263
